English,Bulgarian
cave,пещера
studying,изучаване
unknown,неизвестен
fever,треска
champion,шампион
diamond,диамант
bowl,купа
gee,боже
crimes,престъпления
ID,документ за самоличност
response,отговор
phones,телефони
lookin,погледни вътре
lets,Нека да
sandwich,сандвич
toward,към
suits,костюми
mix,Смесете
jungle,джунгла
orange,оранжево
noble,благороден
chan,чан
civil,граждански
capital,капитал
legend,легенда
related,свързани
urgent,спешно
kidnapped,отвлечен
terrorist,терорист
lifetime,живот
burns,изгаряния
offering,предлагане
sweat,пот
museum,музей
Catherine,Катрин
buck,долар
tax,данък
softly,нежно
distant,отдалечен
Angela,Анджела
guitar,китара
wins,печели
bars,барове
plain,обикновена
miserable,жалък
swimming,плуване
shy,срамежлив
stress,стрес
hip,хип
plastic,пластмаса
loan,заем
dreaming,сънувам
beep,звуков сигнал
mummy,мумия
murders,убийства
buzzing,бръмчене
article,статия
crush,смачквам
anti,анти
reported,докладвани
loaded,зареден
argue,спорят
balance,баланс
fairy,фея
massive,масивна
cleared,изчистено
trunk,багажник
butter,масло
gray,сиво
gross,бруто
cheer,веселие
lad,момче
motion,движение
deputy,депутат
suspicious,подозрителен
lion,лъв
accent,акцент
asks,пита
golf,голф
cats,котки
deserves,заслужава
traitor,предател
comfort,комфорт
reaction,реакция
episode,епизод
decisions,решения
tricks,трикове
rumbling,тътен
bills,сметки
demand,търсене
skull,череп
Germans,немци
blown,издухан
nerve,нерв
childhood,детство
daily,ежедневно
cells,клетки
print,печат
walker,проходилка
begging,просия
moaning,стенене
kissing,целуване
banks,банки
wasted,пропилян
downtown,в центъра
neighbor,съсед
mi,мили
cheating,изневерява
tracking,проследяване
practically,практически
cabin,кабина
link,връзка
bible,библия
touching,трогателно
dealer,дилър
terribly,ужасно
whirring,бръмчене
embarrassed,смутен
unique,единствен по рода си
punk,пънк
crisis,криза
entrance,вход
torture,мъчение
ward,отделение
pretending,преструвайки се
behave,държа се
valuable,ценен
tracks,писти
busted,разбит
spit,плюе
recent,скорошни
toy,играчка
selfish,егоистичен
scratch,драскотина
chill,охладете се
gates,порти
particularly,особено
express,експресен
Martha,Марта
perform,изпълнявам
punishment,наказание
walks,ходи
entered,въведени
ease,лекота
identify,идентифицирам
filthy,мръсен
suffered,претърпени
insist,настоявам
Jewish,еврейски
version,версия
removed,отстранени
confession,изповед
jeez,Господи
facility,съоръжение
stake,залог
didn't,не
pattern,модел
frankly,честно казано
helicopter,хеликоптер
judgment,преценка
blah,дрънкане
clay,глина
therapy,терапия
odds,коефициенти
adult,възрастен
nail,пирон
describe,описвам
delivered,доставени
struggle,борба
revolution,революция
grass,трева
gym,фитнес
prints,отпечатъци
sacred,свещен
impression,впечатление
profile,профил
accused,обвиняем
refused,отказа
jokes,вицове
subtitles,субтитри
spider,паяк
cleaned,изчистен
alpha,алфа
enjoying,наслаждавайки се
souls,души
hopefully,да се надяваме
customer,клиент
aim,цел
charity,благотворителност
collection,колекция
purse,Портмоне
financial,финансови
digging,изкопаване
surrounded,заобиколен
costs,разходи
pet,домашен любимец
sync,синхронизиране
timing,синхронизация
ceremony,церемония
gain,печалба
aid,помощ
homework,домашна работа
blade,острие
prick,убождане
fucker,шибаняк
seats,седалки
exercise,упражнение
citizens,граждани
indistinctly,неясно
struck,ударен
twelve,дванадесет
gentle,лек
interrupt,прекъсвам
recording,записване
imagination,въображение
culture,култура
reminds,напомня
heck,сган
favour,услуга
bail,гаранция
drawing,рисунка
offense,нарушение
cap,шапка с козирка
charged,заредена
crystal,кристал
classic,класически
arranged,аранжиран
sheep,овце
attractive,атрактивен
homes,домове
pipe,тръба
machines,машини
mobile,Подвижен
spirits,настроение
freaking,шибан
wore,носеше
officially,официално
blessed,благословен
smiling,усмихнат
forth,напред
experiment,експеримент
Gus,Гас
routine,рутина
activity,дейност
vic,жертва
underground,под земята
fence,ограда
shown,показано
core,сърцевина
starving,умирам от глад
satellite,сателит
ghosts,призраци
dropping,отпадане
Russia,Русия
actions,действия
painful,болезнено
hail,градушка
generous,щедър
Berlin,Берлин
earned,спечелен
wrap,обвивам
shout,викам
pulse,пулс
monitor,монитор
servant,слуга
loyal,лоялен
hood,качулка
teams,екипи
answering,отговаряйки
guilt,чувство за вина
skip,пропуснете
patience,търпение
neighbors,съседи
electricity,електричество
Rebecca,Ребека
knight,рицар
mysterious,мистериозен
chairman,председател
pope,папа
turkey,пуйка
foolish,глупав
sport,спорт
production,производство
underneath,отдолу
conditions,условия
technically,технически
pound,паунд
singer,певица
owns,притежава
idiots,идиоти
wounds,рани
procedure,процедура
placed,поставени
chop,котлет
dumped,изхвърлен
Jews,евреи
drill,пробивна машина
angels,ангели
transport,транспорт
frozen,замразени
host,домакин
arrange,подредете
uses,използва
election,избори
homicide,убийство
drama,драма
sounded,прозвуча
stones,камъни
testing,тестване
beef,говеждо месо
concentrate,концентрат
holly,свети
lawyers,адвокати
math,математика
outfit,облекло
pro,професионалист
cancel,анулиране
attend,присъстват
Mason,Мейсън
product,продукт
bum,скитник
escort,ескорт
films,филми
thick,дебел
yells,крещи
cigarettes,цигари
patrol,патрул
belly,корема
options,настроики
apology,извинение
holes,дупки
injured,наранен
players,играчи
ages,възрасти
packed,опаковани
nephew,племенник
meantime,междувременно
hoped,надяваше се
grey,сиво
bombs,бомби
mistress,любовница
reasonable,разумен
territory,територия
strip,лента
organization,организация
bitches,кучки
hills,хълмове
argument,аргумент
enjoyed,се забавлявахме
Virginia,Вирджиния
Francisco,Франциско
Han,Хан
lightning,мълния
clinic,клиника
generation,поколение
effects,ефекти
basic,основен
instructions,инструкции
admiral,адмирал
influence,влияние
affairs,дела
landed,кацнал
construction,строителство
behalf,от името
fetch,извличам
Italy,Италия
religion,религия
captured,заловен
cheat,мамят
diamonds,диаманти
afterwards,след това
existence,съществуване
sample,проба
temperature,температура
beneath,отдолу
hee,хей
average,средно аритметично
concert,концерт
rats,плъхове
Leonard,Леонард
heroes,герои
Russell,Ръсел
waves,вълни
oxygen,кислород
coke,Кока Кола
traveling,пътуване
sink,мивка
headquarters,централно управление
replace,замени
mouse,мишка
footage,кадри
jet,струя
hammer,чук
throughout,навсякъде
frame,кадър
wives,съпруги
fields,полета
tune,мелодия
beaten,бит
awkward,неловко
western,уестърн
boxes,кутии
inform,информирам
fort,крепост
criminals,престъпници
clicking,щракане
divorced,разведени
prayer,молитва
badge,значка
guessing,отгатване
pat,потупване
equal,равен
pleasant,приятно
chamber,камера
sauce,сос
fleet,флота
angle,ъгъл
alley,алея
religious,религиозен
beside,до
inch,инч
conscience,съвест
humanity,човечеството
respond,отговарям
holds,държи
rocket,ракета
tech,техн
flies,мухи
Russians,руснаци
monsters,чудовища
Florida,Флорида
claims,искове
fighter,боец
merely,просто
developed,развити
knee,коляно
commissioner,комисар
pitch,стъпка
unlike,за разлика от
visiting,гостуващ
loyalty,лоялност
script,сценарий
circus,цирк
signature,подпис
scientists,учени
snap,щракам
laundry,пералня
smooth,гладка
doorbell,звънец на вратата
supplies,консумативи
flew,летеше
benefit,полза
strangers,непознати
cloud,облак
liberty,свобода
fans,фенове
incredibly,невероятно
ambassador,посланик
protected,защитени
humming,тананикане
corrected,поправено
bells,камбани
pour,изливам
shelter,подслон
pin,карфица
smaller,по-малък
sonny,синко
blocks,блокове
quarters,четвъртинки
reckon,разчитам
kit,комплект
mud,кал
complex,комплекс
hostage,заложник
prevent,предотвратявам
flow,поток
forty,четиридесет
uncomfortable,неудобно
messing,бъркотия
lousy,гадно
banging,чукане
presents,подаръци
Greek,Гръцки
precisely,точно
threatening,заплашителен
highest,най-високо
adventure,приключение
citizen,гражданин
hers,нейната
dish,чиния
monk,монах
gifts,подаръци
kicking,ритане
deaf,глухи
buzz,бръмча
destruction,унищожаване
paradise,рай
attacks,атаки
noon,по обяд
pit,яма
answered,отговори
bleep,писукане
ripped,изтръгнати
spin,завъртане
worries,притеснения
costume,костюм
figures,фигури
accounts,сметки
returning,завръщане
combat,битка
principal,главница
beings,същества
tries,опитва
hopes,надежди
counter,брояч
slipped,подхлъзна
Wednesday,сряда
reverend,преподобни
foster,приемен
choices,избори
shield,щит
satisfied,удовлетворен
gimme,дай ми
robbed,ограбен
unhappy,нещастен
raped,изнасилена
contest,състезание
Batman,Батман
yell,крещи
creepy,страховито
chips,чипс
tap,докоснете
industry,индустрия
drank,пиеше
scale,мащаб
habit,навик
fools,глупаци
anniversary,годишнина
daisy,маргаритка
coughs,кашлица
tragedy,трагедия
sneak,промъквам се
stable,стабилен
nigger,негър
whiskey,уиски
wondered,Чудех се
rifle,пушка
occasion,повод
determined,определен
chaos,хаос
Malcolm,Малкълм
remote,дистанционно
log,дневник
authorities,органи
rotten,гнило
worker,работник
underwear,бельо
relief,облекчение
hid,скри
passport,паспорт
random,случаен
jersey,фланелка
penis,пенис
impact,въздействие
marshal,маршал
whistling,подсвиркване
warehouse,склад
tradition,традиция
conversations,разговори
realise,осъзнавам
invented,изобретен
invisible,невидим
whimpering,хленчене
cowboy,каубой
worthy,достоен
internal,вътрешни
entry,влизане
salad,салата
thus,по този начин
represent,представлявам
pigs,прасета
ln,вътре
engines,двигатели
throne,трон
limit,лимит
sets,комплекти
Alexander,Александър
listened,слушах
cared,грижа
comment,коментар
Raymond,Реймънд
pan,тиган
begun,започна
resist,противопоставям се
shell,черупка
lads,момчета
jam,конфитюр
nearby,наблизо
honking,клаксон
motel,мотел
scientist,учен
suspects,заподозрени
electric,електрически
yards,ярдове
tits,цици
gunfire,стрелба
Willie,Уили
liver,черен дроб
fifteen,петнадесет
motive,мотив
bothering,притеснявам се
stretch,"опъвам, разтягам"
helpful,полезно
serving,сервиране
facing,изправени пред
documents,документи
highway,магистрала
serial,сериен
environment,заобикаляща среда
comrade,другарю
granted,предоставено
goodnight,лека нощ
clown,клоун
interests,интереси
Spain,Испания
cliff,скала
invitation,покана
pays,плаща
stark,ярък
mistaken,грешен
Y'all,Вие всички
capture,улавяне
minor,незначителен
sail,плавам
levels,нива
finest,най-доброто
dong,донг
fantasy,фантазия
charm,чар
informed,информиран
checks,чекове
string,низ
exists,съществува
wheels,колела
confident,уверен
Wendy,Уенди
deeper,по дълбоко
brief,кратко
tooth,зъб
powder,прах
beats,удари
tattoo,татуировка
shark,акула
slap,шамар
atmosphere,атмосфера
personality,личност
intelligent,интелигентен
patch,пластир
shed,навес
moron,глупак
bend,извивам
Williams,Уилямс
gene,ген
extreme,екстремни
consequences,последствия
bush,храст
fascinating,очарователно
flip,флип
maintain,поддържам
photograph,снимка
junk,боклуци
multiple,многократни
possession,владение
gunshots,изстрели
dates,дати
heavens,небесата
surgeon,хирург
worrying,тревожно
dope,дрога
marine,морски
unable,неспособен
jumping,скачане
upper,горен
weed,плевел
centre,център
assignment,задание
resistance,съпротива
oi,ой
bo,бо
heal,лекувам
tale,приказка
individual,индивидуален
growls,ръмжи
tastes,има вкус на
chin,брадичка
August,Август
don´t,недей
locker,шкафче
resources,ресурси
lessons,Уроци
active,активен
sins,грехове
aliens,извънземни
feeding,хранене
apply,Приложи
fund,фонд
uhh,ъъъъ
Latin,латински
battery,батерия
supper,вечеря
jazz,джаз
shared,споделено
cable,кабел
radar,радар
survival,оцеляване
joining,присъединяване
trauma,травма
washed,измит
companies,компании
waters,води
makeup,грим
matches,мачове
net,нето
safely,безопасно
grabbed,сграбчени
personnel,персонал
sales,продажби
imagined,въобразено
actress,актриса
July,Юли
pre,пред
propose,предлагам
session,сесия
cries,викове
goods,стоки
testify,свидетелствам
dreamed,сънуван
parent,родител
drives,кара
wicked,нечестив
clouds,облаци
muscle,мускул
cried,извика
yay,ура
absolute,абсолютен
muffled,приглушено
chirping,чуруликане
engineer,инженер
pole,полюс
opera,опера
leak,теч
halfway,наполовина
dragged,влачен
passes,преминава
beans,боб
twins,близнаци
Quinn,Куин
ad,реклама
chanting,скандиране
exposed,изложени
favourite,любими
fights,битки
academy,академия
connect,свържете се
moral,морален
Irish,ирландски
slightly,леко
ouch,ох
grief,скръб
scan,сканиране
daughters,дъщери
southern,южен
paperwork,документация
tools,инструменти
liquor,алкохол
marrying,женитба
forms,форми
corn,царевица
pages,страници
policeman,полицай
intense,интензивен
eagle,орел
discover,откривам
roaring,ревящ
fires,пожари
squeeze,стискам
reveal,разкрие
shore,бряг
recommend,Препоръчвам
meters,метра
shouts,викове
critical,критичен
acts,действа
bunny,зайче
investigating,разследване
farewell,сбогом
pile,купчина
exam,изпит
appeared,се появи
covering,покриване
sirens,сирени
produce,произвеждат
annoying,досадно
superior,превъзхождащ
Ronnie,Рони
slaves,роби
occurred,настъпили
bureau,бюро
they're,те са
catching,улавяне
prom,бал
emotions,емоции
instance,инстанция
counts,брои
mount,монтиране
classes,класове
rocky,скалист
nut,гайка
goat,коза
award,награда
visitors,посетителите
Tokyo,Токио
Watson,Уотсън
lend,заемаш
driven,задвижван
review,преглед
terrorists,терористи
infected,заразен
gambling,хазарт
thieves,крадци
communication,комуникация
appropriate,подходящо
require,изискват
currently,понастоящем
punished,наказани
enterprise,предприятие
countries,държави
wars,войни
thirsty,жаден
everyday,всеки ден
arts,изкуства
weakness,слабост
abandon,изоставям
shooter,стрелец
bee,пчела
brick,тухла
barn,хамбар
intention,намерение
freezing,замразяване
demons,демони
exhausted,изтощен
sire,господар
complain,оплакват
strategy,стратегия
privacy,поверителност
stabbed,намушкал
meanwhile,междувременно
commercial,търговски
necklace,огърлица
engagement,годеж
required,изисква се
Mexican,мексикански
phase,фаза
scientific,научен
radiation,радиация
increase,нараства
sang,пееше
tend,склонен
whip,камшик
corpse,труп
soap,сапун
stroke,удар
motor,мотор
transferred,прехвърлен
slide,пързалка
baker,пекар
lance,копие
vessel,съд
sighing,въздишане
lovers,любовници
gloves,ръкавици
schools,училища
rub,търкайте
toys,играчки
profit,печалба
previous,предишен
tense,напрегнато
sharing,споделяне
cheated,измамени
investigate,разследвам
plants,растения
troubles,неприятности
furniture,мебели
planes,самолети
wee,мъничко
treating,лечение
sealed,запечатан
visual,визуален
assuming,предполагайки
fits,пасва
peaceful,мирен
blonde,Рус
dancer,танцьорка
Victoria,Виктория
retired,пенсиониран
arrow,стрелка
rounds,кръгове
steak,пържола
safer,по-безопасно
fabulous,страхотно
sack,чувал
admire,възхищавам се
global,глобален
avenue,авеню
p.m.,следобед
succeed,успявам
casino,казино
damaged,повредени
entering,влизане
drawn,начертан
sends,изпраща
Indians,индианци
compared,в сравнение
Gloria,Глория
undercover,под прикритие
symbol,символ
plates,чинии
tube,тръба
stubborn,инат
fraud,измама
effective,ефективен
humor,хумор
obsessed,обсебен
stepped,стъпил
soda,Газирани напитки
lemon,лимон
payment,плащане
causing,причиняване
eternal,вечен
advanced,напреднал
cunt,путка
insult,обида
Joan,Джоан
obey,подчинявам се
pump,помпа
studied,изучавани
shortly,скоро
headache,главоболие
awfully,ужасно
painted,боядисани
unfortunate,нещастен
faced,изправени
shaking,разклащане
owned,притежавани
boats,лодки
arguing,спорене
diet,диета
cities,градове
kings,крале
objection,възражение
priority,приоритет
mall,търговски център
bottles,бутилки
beard,брада
divine,божествено
deadly,смъртоносен
Jew,евреин
management,управление
native,местен
attached,приложен
operations,операции
employees,служители
cookie,бисквитка
widow,вдовица
cookies,бисквитки
soo,така
tent,палатка
gravity,земно притегляне
giggles,кикотене
promises,обещания
assholes,задници
pill,хапче
experienced,опитен
I´m,Аз съм
suggesting,внушаващ
analysis,анализ
wisdom,мъдрост
Philip,Филип
producer,продуцент
medication,лекарства
branch,клон
commission,комисионна
punish,наказвам
cents,цента
crashing,трясък
bears,мечки
shoulders,рамене
reverse,обратен
structure,структура
burden,бреме
hon,скъпи
greetings,поздравления
tag,етикет
Moscow,Москва
fried,пържени
festival,фестивал
typical,типичен
dressing,дресинг
needle,игла
mob,моб
honeymoon,Меден месец
sunshine,слънчева светлина
sticks,пръчици
betray,предавам
madness,лудост
porn,порно
chemical,химически
population,население
wrapped,увити
rage,ярост
manner,начин
shocked,шокиран
beam,лъч
Megan,Меган
solved,решен
defendant,ответник
dive,гмуркам се
Herr,господин
nest,гнездо
sticking,залепване
remarkable,забележителен
alibi,алиби
cuts,порязвания
stations,станции
development,развитие
nicely,хубаво
groups,групи
dishes,съдове
farmer,земеделски производител
assumed,предполага се
teachers,учители
brush,четка
slut,уличница
crossing,пресичане
halt,спирам
differently,различно
delay,забавяне
testimony,свидетелство
requires,изисква
praise,хвала
passengers,пътници
superman,супермен
focused,фокусиран
vault,трезор
labor,труд
romance,романтика
pearl,перла
naughty,палава
computers,компютри
Gabriel,Габриел
temporary,временно
poetry,поезия
lands,земи
colors,цветове
martial,боен
rumors,слухове
operate,оперирам
leaders,лидери
Houston,Хюстън
inner,атрешна
immediate,незабавно
happily,щастливо
magnificent,великолепен
lap,обиколка
coin,монета
wagon,вагон
killers,убийци
chapter,глава
centuries,векове
click,щракнете
Korean,корейски
magical,магически
novel,роман
employee,служител
description,описание
socks,чорапи
crane,кран
bid,предложение
elephant,слон
ahem,хм
bucket,кофа
wears,носи
conspiracy,конспирация
plot,парцел
archer,стрелец с лък
pockets,джобове
granny,баба
Troy,Троя
skinny,кльощав
sarge,сержант
poker,покер
ash,пепел
backwards,наопаки
recorded,записано
twist,усукване
fond,обичам
rising,издигане
limited,ограничено
bout,двубой
measure,мярка
lame,куцо
pops,изскача
fingerprints,пръстови отпечатъци
Korea,Корея
colour,цвят
retreat,отстъпление
appeal,обжалване
hut,хижа
manners,маниери
mothers,майки
cherry,череша
assistance,помощ
deserved,заслужен
burnt,изгорени
bugs,буболечки
lazy,мързелив
catholic,католическа
instrumental,инструментална
separated,разделени
lungs,бели дробове
homeless,бездомен
shadows,сенки
drops,капки
praying,моля се
foul,фал
abuse,злоупотреба
buildings,сгради
boot,обувка
apologies,извинения
creating,създаване
rear,отзад
swallow,поглъщам
images,изображения
oath,клетва
talented,талантлив
poisoned,отровен
wizard,съветник
blessing,благословение
Dutch,холандски
repair,ремонт
zoo,зоологическа градина
expression,изразяване
bitter,горчив
bait,стръв
depressed,депресиран
cargo,товари
Iike,като
vodka,водка
tested,тестван
relationships,отношения
thanksgiving,Денят на благодарността
valentine,валентин
gut,червата
tribe,племе
anxious,"разтревожен, неспокоен"
kidnapping,отвличане
blaring,ревене
tissue,тъкан
terror,терор
limits,граници
areas,области
intel,интел
ding,звън
psycho,психо
it´s,това е
explained,обясни
galaxy,галактика
terrified,ужасен
auntie,леля
broad,широк
Canada,Канада
root,корен
towel,кърпа за баня
October,октомври
coma,кома
intended,предназначени
chicks,мацки
dial,набиране
dings,вдлъбнатини
electronic,електронен
basketball,баскетбол
September,Септември
blanket,одеяло
von,фон
reception,рецепция
asses,задници
torn,разкъсана
roads,пътища
booze,алкохол
toes,пръсти на краката
item,вещ
cellphone,мобилен телефон
recover,възстанови се
specifically,специално
dessert,десерт
eats,яде
fridge,хладилник
tragic,трагичен
worlds,светове
questioning,разпитване
Sid,Сид
injury,нараняване
packing,опаковане
bingo,бинго
heroin,хероин
giggling,кикотене
ultimate,крайна
vampires,вампири
budget,бюджет
returns,се завръща
protocol,протокол
scout,разузнавач
cooked,варени
nigga,негро
grows,расте
appearance,външен вид
enormous,огромен
republic,република
alliance,съюз
proposal,предложение
forgiveness,прошка
racing,състезание
demands,изисквания
meetings,срещи
soil,почва
searched,претърсени
discussion,дискусия
nerves,нерви
foundation,фондация
dee,ди
clan,клан
counsel,съветник
palm,длан
Soviet,съветски
infection,инфекция
function,функция
identified,идентифицирани
closest,най-близо
lamb,агнешко
d'you,ти ли
corporate,корпоративен
reporting,отчитане
cocaine,кокаин
raw,суров
African,африкански
waiter,сервитьор
deposit,депозит
stab,намушкам
operating,опериращ
suite,апартамент
colleague,колега
Halloween,Хелоуин
shitty,скапано
stink,воня
hooked,закачен
disturb,безпокоя
permanent,постоянен
preparing,приготвяне
suspected,заподозрян
cotton,памук
gum,дъвка
denied,отказано
album,албум
honored,почитан
poem,стихотворение
studies,проучвания
parked,паркиран
Vietnam,Виетнам
basis,основа
provided,предоставени
gently,нежно
prosecutor,прокурор
bits,битове
perimeter,периметър
warriors,воини
suitcase,куфар
polish,полиране
masters,майстори
polite,учтив
skill,умение
executive,изпълнителен
raising,повдигане
guardian,пазач
prayers,молитви
registered,регистриран
mankind,човечеството
bacon,бекон
proved,доказано
affect,засягат
ace,асо
elderman,старейшина
kung,кунг
inches,инча
l'll,аз ще
scar,белег
concerns,опасения
ton,тон
toss,хвърляне
amongst,сред
investment,инвестиции
sector,сектор
fry,пържим
handled,обработван
dismissed,уволнен
causes,причини
ashes,пепел
bump,бум
salary,заплата
storage,съхранение
Samantha,Саманта
promotion,повишение
forbidden,забранен
tons,тона
delighted,удоволствието
missile,ракета
theatre,театър
parade,парад
musical,музикален
crashed,катастрофира
ram,овен
editor,редактор
sucker,издънка
shining,блестящ
primary,първичен
regarding,относно
statue,статуя
acid,киселина
bleed,кървят
discovery,откритие
smarter,по-умен
introduced,въведени
concept,концепция
deaths,смъртни случаи
sober,трезвен
potatoes,картофи
puppy,кученце
alike,подобни
eastern,източен
wealth,богатство
temper,темперамент
tryin,опитвам се
northern,северен
November,ноември
scum,измет
fashioned,моден
pirate,пират
recovered,възстановен
Collins,Колинс
lit,осветен
Spencer,Спенсър
Palmer,Палмър
embassy,посолство
Curtis,Къртис
leather,Кожа
pierce,пробивам
lip,устна
explains,обяснява
constantly,постоянно
largest,най-големият
smash,разбивам
rubbish,боклук
pork,свинско
booked,резервиран
constant,постоянен
buddies,приятели
wolves,вълци
medal,медал
whistles,свирки
spotted,забелязан
Mikey,Майки
upside,нагоре
added,добавен
corporal,ефрейтор
assigned,възложено
cam,камера
roses,рози
grid,решетка
tire,автомобилна гума
gathered,събрани
roommate,съквартирант
toe,пръст на крак
paranoid,параноичен
vulnerable,уязвими
petty,дребнави
sheets,листи
colleagues,колеги
combination,комбинация
Lauren,Лорън
characters,герои
Kent,Кент
ruby,рубин
organized,организиран
drawer,чекмедже
controlled,контролирани
necessarily,непременно
kay,кей
understands,разбира
conduct,"поведение, ръководене"
laying,полагане
sorts,видове
grounds,основания
supreme,върховен
permit,разрешително
drown,удавя се
sheet,лист
advise,съветвам
breach,нарушение
approve,одобрявам
belonged,принадлежал
tool,инструмент
symptoms,симптоми
Leslie,Лесли
illness,болест
louder,по-силно
Pierre,Пиер
sweep,помете
determine,определи
suggested,предложено
visited,посетени
acted,действал
delicate,деликатен
pillow,възглавница
eleven,единадесет
quote,цитат
bargain,сделка
stare,взират
warden,надзирател
operator,оператор
worn,носени
pm,следобед
explode,експлодирам
goose,гъска
horror,ужас
counselor,съветник
sore,възпалено
Brooklyn,Бруклин
solo,соло
sung,изпята
samples,мостри
forgetting,забравяне
positions,позиции
requested,поискано
tennis,тенис
niece,племенница
announcement,съобщение
relatives,роднини
wha,какво
shave,бръснене
amber,кехлибар
bothered,притеснен
burst,избухвам
sixth,шесто
larger,по-голям
shove,блъскам
ham,шунка
steam,пара
collar,яка
turtle,костенурка
severe,тежка
happier,по-щастлив
hush,тишина
lighter,запалка
cart,количка
Clara,Клара
celebrating,празнуване
nap,дрямка
entertainment,развлечение
nails,нокти
Richie,Ричи
absurd,абсурд
baron,барон
tapes,ленти
wreck,развалина
fathers,бащи
misery,мизерия
judges,съдии
scotch,скоч
flame,пламък
aircraft,самолет
height,височина
shepherd,пастир
located,разположен
humble,скромен
unconscious,в безсъзнание
Manhattan,Манхатън
potato,картофи
raid,нападение
arrival,пристигане
conflict,конфликт
washing,измиване
reed,тръстика
marked,маркиран
electrical,електрически
include,включват
completed,завършен
recognized,разпознат
contrary,обратното
solar,слънчева
hostages,заложници
massage,масаж
unfair,несправедлива
rap,рап
complaint,оплакване
aggressive,агресивен
sniffles,подсмърча
misunderstanding,недоразумение
rumor,слух
relieved,облекчен
creative,творчески
locate,локализирам
Marco,Марко
taxes,данъци
floating,плаващ
creaking,скърцане
fee,такса
Ivan,Иван
engage,ангажирам се
dignity,достойнство
Oops,опа
splendid,великолепно
diary,дневник
achieve,постигам
raining,вали дъжд
o.,о.
candidate,кандидат
twin,близнак
rubber,каучук
coordinates,координати
threaten,заплашвам
faint,губя съзнание
purple,лилаво
actors,актьори
wiped,изтрит
helmet,каска
blank,празно
carpet,килим
closely,отблизо
fist,юмрук
rex,рекс
photographs,снимки
barrel,варел
bare,голи
cattle,говеда
outer,външен
cooperate,сътрудничат
vital,жизненоважен
jewelry,бижута
shuttle,совалка
lean,постно
hack,хакване
soccer,футбол
complaining,оплаквам се
shotgun,ловна пушка
fairly,справедливо
planted,засадени
goddess,богиня
remaining,оставащи
psychic,психически
bin,кошче
pistol,пистолет
boarding,качване на борда
injuries,наранявания
sunny,слънчево
Scotland,Шотландия
senses,сетивата
posted,публикувано
pepper,пипер
interfere,меся се
dug,изкопан
visitor,посетител
cannon,оръдие
brakes,спирачки
murmuring,мърморене
various,различни
champ,шампион
gotcha,хванах те
overnight,през нощта
ranch,ранчо
audition,прослушване
folk,народни
triple,тройна
luggage,багаж
believing,вярвайки
congress,конгрес
register,регистрирам
technique,техника
classified,класифициран
announce,обявявам
speaker,говорител
debate,дебат
I.D.,ДОКУМЕНТ ЗА САМОЛИЧНОСТ.
sobs,ридания
cursed,прокълнат
tanks,резервоари
independent,независима
static,статичен
ginger,джинджифил
breast,гърди
defence,защита
menu,меню
instant,моментално
artists,художници
basket,кошница
method,метод
communicate,общуват
grandson,внук
physically,физически
hyun,хюн
error,грешка
genetic,генетични
glorious,славен
invasion,инвазия
parole,условно освобождаване
chopper,чопър
anonymous,анонимен
lecture,лекция
newspapers,вестници
gathering,събиране
commitment,ангажираност
Britain,Великобритания
sniffs,подушва
laughed,засмя се
carson,карсън
cabinet,кабинет
autopsy,аутопсия
controls,контроли
paintings,картини
vast,огромен
trailer,ремарке
admitted,допуснати
adorable,очарователен
impress,впечатлявам
it's,това е
borrowed,взети назаем
nanny,бавачка
plague,чума
votes,гласове
plug,щепсел
inhales,вдишва
comedy,комедия
dammit,подяволите
whimpers,скимти
ancestors,предци
porter,портиер
Damon,Деймън
kindness,доброта
unexpected,неочаквано
attacking,атакуващ
adults,възрастни
liquid,течност
negotiate,преговарям
screwing,завинтване
keen,запален
comic,комикс
corps,корпус
disturbing,обезпокоителен
silk,коприна
servants,слуги
spike,шип
surprises,изненади
Rosie,Роузи
shirts,ризи
copies,копия
celebration,празненство
worthless,безполезен
gig,концерт
narrow,тесни
threats,заплахи
breasts,гърди
minus,минус
clothing,облекло
motherfuckers,копелета
fooled,заблуден
embrace,прегръдка
lobby,лоби
pacific,тихоокеански
executed,изпълнен
Excellency,Превъзходителство
twisted,усукана
spiritual,духовен
trucks,камиони
scenes,сцени
tub,вана
dated,датиран
tin,калай
develop,развиват се
volunteer,доброволец
neat,чист
filed,подадена
swell,набъбвам
detectives,детективи
spoil,развалят се
deals,сделки
whale,кит
swore,закле се
signing,подписване
engineering,инженерство
drowned,удавени
oldest,най-старият
destroying,унищожаване
Iraq,Ирак
stinks,смърди
rank,ранг
emotion,емоция
sequence,последователност
gossip,клюка
lamp,лампа
ladder,стълба
existed,съществуваше
theft,кражба
subway,метро
daylight,дневна светлина
Dallas,Далас
I'D,ДОКУМЕНТ ЗА САМОЛИЧНОСТ
cease,престанете
password,парола
types,видове
alternative,алтернатива
document,документ
efforts,усилия
chess,шах
discussed,обсъдени
recovery,възстановяване
belief,вяра
pale,Блед
lung,бял дроб
handling,обработка
excitement,вълнение
traditional,традиционен
region,регион
Australia,Австралия
sailor,моряк
frog,жаба
replaced,заменени
passage,пасаж
geez,Боже
elements,елементи
dull,скучен
ties,връзки
coffin,ковчег
rusty,ръждив
sis,сестра
horns,рога
cracked,напукан
civilian,граждански
banana,банан
worm,червей
crushed,смачкан
crawl,пълзене
envelope,плик
duties,задължения
